"pt"	"lb"	"mappings"
Kava	Piper methysticum	Kava | Kava-kava | Kava pepper | Kawa pepper | Piper methysticum | Yanggona
Kiratatikta	Swertia chirata	Chirata | Chiretta | Kiratatikta | Swertia chirata
Kola	Cola nitida	Bitter cola | Cola nitida | Gbanja kola | Kola
Kratom	Mitragyna speciosa	Kratom | Kratum | Mitragyna speciosa
Kuandonghua	Tussilago farfara	Coltsfoot | Common coltsfoot | Kuan dong | Kuandonghua | Tussilago farfara
Kuso-no-ki	Cinnamomum camphora	Camphor | Camphor laurel | Camphor tree | Camphortree | Cinnamomum camphora | Japanese camphor | Kuso-no-ki
Lady's-mantle	Alchemilla xanthochlora	Alchemilla xanthochlora | Lady's-mantle
Lentiscus	Pistacia lentiscus	Chios mastictree | Lentiscus | Pistacia lentiscus
Lesser galangal	Alpinia officinarum	Alpinia officinarum | Chinese-ginger | Lesser galanga | Lesser galangal
Licorice	Glycyrrhiza uralensis	Chinese licorice | Gan cao | Glycyrrhiza uralensis | Licorice
Lion's-tooth	Taraxacum officinale	Common dandelion | Dandelion | Lion's-tooth | Taraxacum officinale
Liquorice	Glycyrrhiza glabra	Glycyrrhiza glabra | Guang guo gan cao | Licorice | Liquorice
Lovage	Levisticum officinale	Levisticum officinale | Lovage
Lungmoss	Lobaria pulmonaria	Lobaria pulmonaria | Lung lichen | Lungmoss
Maca	Lepidium meyenii	Lepidium meyenii | Maca | Peruvian-ginseng
Magnolia-bark	Magnolia officinalis	Hou po | Magnolia-bark | Magnolia officinalis
Maidenhair fern	Adiantum capillus	Adiantum capillus | Common maidenhair | Maidenhair fern
Malabartamarind	Garcinia gummi	Garcinia gummi | Malabartamarind
Maocangzhu	Atractylodes lancea	Atractylodes lancea | Maocangzhu
Maqui	Aristotelia chilensis	Aristotelia chilensis | Maqui
Marrubium Nigrum	Ballota nigra	Ballota | Ballota nigra | Black hempnettle | Black horehound | Black Stinking Horehound | Marrubium Nigrum
Meadow sage	Salvia pratensis	Meadow clary | Meadow sage | Salvia pratensis
