"name"	"common_name"
GLYCYRRHIZA URALENSIS WHOLE	LICORICE
GLYCYRRHIZA LAEVIS WHOLE	LICORICE
GLYCYRRHIZA GLABRA [WHO-DD]	LICORICE
CHINESE LICORICE (GLYCYRRHIZA URALENSIS) [HOC]	LICORICE
LIQUIRITIA OFFICINARUM WHOLE	LICORICE
GLYCYRRHIZA VIOLACEA WHOLE	LICORICE
GLYCYRRHIZA PAUCIFOLIOLATA WHOLE	LICORICE
SENNA ALEXANDRINA [WHO-DD]	SENNA
JALELO WHOLE	SENNA
BHUIKHAKHASA WHOLE	SENNA
ALEXANDRIAN SENNA WHOLE	SENNA
CASSIA ELONGATA WHOLE	SENNA
CASSIA DECIPIENS WHOLE	SENNA
CASSIA LIGUSTRINOIDES WHOLE	SENNA
SANA WHOLE	SENNA
SENNA ALEXANDRINA WHOLE	SENNA
INDIAN SENNA WHOLE	SENNA
CASSIA MEDICA WHOLE	SENNA
SENNA [HOC]	SENNA
CASSIA EHRENBERGII WHOLE	SENNA
KASSIYA OSTROLISTNAYA WHOLE	SENNA
SVARNAPATRI WHOLE	SENNA
AFRIKANSKAYA SENNA WHOLE	SENNA
CASSIA ACUTIFOLIA WHOLE	SENNA
TINNEVELLY SENNA WHOLE	SENNA
CASSIA MEDICINALIS WHOLE	SENNA
BOMBAY SENNA WHOLE	SENNA
CASSIA ALEXANDRINA WHOLE	SENNA
SENNA ANGUSTIFOLIA WHOLE	SENNA
CASSIA ORIENTALIS WHOLE	SENNA
CASSIA AETHIOPICA WHOLE	SENNA
TRUE SENNA WHOLE	SENNA
SENNA-I-MAKKI WHOLE	SENNA
CASSIA LANCEOLATA WHOLE	SENNA
SENNA ALEXANDRINA MILL.	SENNA
SENNA ACUTIFOLIA WHOLE	SENNA
CASSIA ANGUSTIFOLIA WHOLE	SENNA
CASSIA OVATA WHOLE	SENNA
CASSE WHOLE	SENNA
SENNA OFFICINALIS WHOLE	SENNA
HINDISANA WHOLE	SENNA
SENNA WHOLE	SENNA
CASSIA SENNA WHOLE	SENNA
CASSIA LENITIVA WHOLE	SENNA
PINUS LUCIDA WHOLE	""
ABIES TENUIRIFOLIA WHOLE	""
ABIES DUPLEX WHOLE	""
PEUCE ABIES WHOLE	""
ABIES MINOR WHOLE	""
PICEA METENSIS WHOLE	""
ABIES RINZII WHOLE	""
ABIES BALDENSIS WHOLE	""
PICEA RINZI WHOLE	""
PICEA PYRAMIDALIS WHOLE	""
SILVER FIR WHOLE	""
ABIES METENSIS WHOLE	""
ABIES VULGARIS WHOLE	""
ABIES TAXIFOLIA WHOLE	""
PINUS PICEA WHOLE	""
ABIES ARGENTEA WHOLE	""
PINUS BALDENSIS WHOLE	""
PICEA PECTINATA WHOLE	""
ABIES ALBA MILL.	""
PICEA TENUIFOLIA WHOLE	""
PINUS HETEROPHYLLA WHOLE	""
ABIES CANDICANS WHOLE	""
PINUS ALBA WHOLE	""
ABIES PARDEI WHOLE	""
ABIES ALBA [WHO-DD]	""
PICEA KUKUNARIA WHOLE	""
ABIES ABIES WHOLE	""
ABIES MINIATA WHOLE	""
ABIES ALBA WHOLE	""
ABIES NOBILIS WHOLE	""
ABIES CHLOROCARPA WHOLE	""
PINUS PECTINATA WHOLE	""
SILVER WATTLE WHOLE	""
ACACIA DERWENTII WHOLE	""
SYDNEY BLACK WATTLE WHOLE	""
ACACIA DECURRENS VAR. DEALBATA WHOLE	""
ACACIA AFFINIS WHOLE	""
ACACIA DEALBATA WHOLE	""
RACOSPERMA DEALBATUM WHOLE	""
ACACIA BERNIER WHOLE	""
MIMOSA DEALBATA WHOLE	""
ACACIA DEALBATA LINK	""
ACACIA PUBERULA WHOLE	""
MIMOSA WHOLE	""
WESTERN AUSTRALIAN GOLDEN WATTLE WHOLE	""
ORANGE WATTLE WHOLE	""
ACACIA SALIGNA (LABILL.) WENDL. F.	""
BLUE-WHOLEED WATTLE WHOLE	""
COOJONG WHOLE	""
ACACIA SALIGNA (LABILL.) H.L. WENDL.	""
ACACIA SALIGNA WHOLE	""
ACACIA CYANOPHYLLA WHOLE	""
PORT JACKSON WILLOW WHOLE	""
GOLDEN WREATH WATTLE WHOLE	""
ACACIA CYANOPHYLLA LINDL.	""
RICINOCARPUS FRUTICOSUS WHOLE	""
ACALYPHA FRUTICOSA FORSSK.	""
ACALYPHA FRUTICOSA WHOLE	""
BEAR'S BREECH [HOC]	""
ACANTHUS LUSITANICUS WHOLE	""
SEA-DOCK WHOLE	""
ARTIST'S ACANTHUS WHOLE	""
ACANTHUS MOLLIS [WHO-DD]	""
ACANTHUS MOLLIS L.	""
ACANTHUS NIGER WHOLE	""
ACANTHUS LATIFOLIUS WHOLE	""
ACANTHUS PLATYPHYLLUS WHOLE	""
ACANTHUS LONGIFOLIUS WHOLE	""
BEAR'S BREECH WHOLE	""
ACANTHUS HISPANICUS WHOLE	""
ACANTHUS MOLLIS WHOLE	""
ACER MONO WHOLE	""
ACER OKAMOTOANUM WHOLE	""
ACER MARMORATUM WHOLE	""
ACER PICTUM WHOLE	""
ACER AMBIGUUM WHOLE	""
ACER DIPPELII WHOLE	""
ACER PICTUM THUNB.	""
ACER LATILOBUM WHOLE	""
ACER MAYRII WHOLE	""
RUFACER RUBRUM WHOLE	""
ACER HYPOLEUCUM WHOLE	""
ACER GLAUCUM WHOLE	""
ACER WAGNERI WHOLE	""
ACER SANGUINEUM WHOLE	""
ACER RUBRUM [WHO-DD]	""
ACER FULGENS WHOLE	""
ACER SEMIORBICULATUM WHOLE	""
RUFACER DRUMMONDII WHOLE	""
ACER CAROLINIANUM WHOLE	""
ACER SPLENDENS WHOLE	""
ACER DRUMMONDII WHOLE	""
ACER COCCINEUM WHOLE	""
ACER RUBRUM L.	""
ACER RUBRUM WHOLE	""
ACER TOMENTOSUM WHOLE	""
RED MAPLE WHOLE	""
RUFACER CAROLINIANUM WHOLE	""
ACER STENOCARPUM WHOLE	""
ACHILLEA AGERATUM WHOLE	""
ACHILLEA VISCOSA WHOLE	""
ACHILLEA AGERATUM L.	""
SWEET YARROW WHOLE	""
CONFORATA AGERATUM WHOLE	""
SWEET-NANCY WHOLE	""
ACHILLEA PECTEN-VENERIS WHOLE	""
ACHILLEA ANETHIFOLIA WHOLE	""
ACHILLEA CRISTATA WHOLE	""
ACHILLEA OSSICA WHOLE	""
ACHILLEA ASPLENIIFOLIA WHOLE	""
ACHILLEA BOREALIS WHOLE	""
ACHILLEA LAXIFLORA WHOLE	""
WESTERN YARROW WHOLE	""
MILFOIL WHOLE	""
ACHILLEA BICOLOR WHOLE	""
NOSEBLEED PLANT WHOLE	""
ACHILLEA GIGANTEA WHOLE	""
ACHILLEA SUBHIRSUTA WHOLE	""
MILENRAMA WHOLE	""
ACHILLIOS MILLEFOLIATUS WHOLE	""
ACHILLEA CUSPIDATA WHOLE	""
ACHILLEA AMBIGUA WHOLE	""
ACHILLEA OCCIDENTALIS WHOLE	""
ACHILLEA ALPICOLA WHOLE	""
ACHILLEA PRATENSIS WHOLE	""
SOLDIER'S WOUNDWORT WHOLE	""
ACHILLEA ALBICAULIS WHOLE	""
