"common_name"	"latin_binomial"
VERBASCUM SINUATUM	VERBASCUM SINUATUM
SASSAFRAS ALBIDUM	SASSAFRAS ALBIDUM
ROSA CANINA	ROSA CANINA
ONONIS SPINOSA	ONONIS SPINOSA
CELTIS GOMPHOPHYLLA	CELTIS GOMPHOPHYLLA
QUERCUS MACROCARPA	QUERCUS MACROCARPA
EUPATORIUM CAPILLIFOLIUM	EUPATORIUM CAPILLIFOLIUM
PRUNUS CORNUTA	PRUNUS CORNUTA
THYMBRA CAPITATA	THYMBRA CAPITATA
LICORICE	GLYCYRRHIZA GLABRA
COPTIS CHINENSIS	COPTIS
URENA LOBATA	URENA LOBATA
GARCINIA GERRARDII	GARCINIA
MIKANIA BANISTERIAE	MIKANIA BANISTERIAE
AMOMUM VILLOSUM	AMOMUM VILLOSUM
PHYLLANTHUS AMARUS	PHYLLANTHUS AMARUS
CELTIS LAEVIGATA	CELTIS LAEVIGATA
CINNAMOMUM BURMANNI	CINNAMOMUM BURMANNI
ASTRAGALUS HUMISTRATUS	ASTRAGALUS HUMISTRATUS
REYNOUTRIA MULTIFLORA	REYNOUTRIA MULTIFLORA
ALBATRELLUS CONFLUENS	ALBATRELLUS CONFLUENS
PRUNUS ANGUSTIFOLIA	PRUNUS ANGUSTIFOLIA
LICORICE	GLYCYRRHIZA URALENSIS
CURCUMA LONGA	CURCUMA LONGA
MYRTUS COMMUNIS	MYRTUS COMMUNIS
RUMEX VENOSUS	RUMEX VENOSUS
DIGITALIS FERRUGINEA	DIGITALIS FERRUGINEA
CENTROSEMA VIRGINIANUM	CENTROSEMA VIRGINIANUM
PARTHENOCISSUS QUINQUEFOLIA	PARTHENOCISSUS QUINQUEFOLIA
FOMES FOMENTARIUS	FOMES FOMENTARIUS
CLEMATIS VILLOSA	CLEMATIS VILLOSA
BORAGO OFFICINALIS	BORAGO OFFICINALIS
LEPIDIUM VIRGINICUM	LEPIDIUM VIRGINICUM
ERYTHRINA LYSISTEMON	ERYTHRINA LYSISTEMON
EUGENIA BIFLORA	EUGENIA BIFLORA
CROTON STELLATOPILOSUS	CROTON STELLATOPILOSUS
IPOMOEA PANDURATA	IPOMOEA PANDURATA
CYPERUS ROTUNDUS	CYPERUS ROTUNDUS
NERIUM OLEANDER	NERIUM OLEANDER
CARCHARHINUS LEUCAS	CARCHARHINUS LEUCAS
IMPATIENS PARVIFLORA	IMPATIENS PARVIFLORA
SENNA OBTUSIFOLIA	SENNA OBTUSIFOLIA
FILIPENDULA ULMARIA	FILIPENDULA ULMARIA
TRIFOLIUM REPENS	TRIFOLIUM REPENS
PAPAVER SOMNIFERUM	PAPAVER SOMNIFERUM
SALVIA TOMENTOSA	SALVIA TOMENTOSA
RUBUS LACINIATUS	RUBUS LACINIATUS
AZADIRACHTA INDICA	AZADIRACHTA INDICA
PSEUDARTHRIA HOOKERI	PSEUDARTHRIA HOOKERI
MARKHAMIA LUTEA	MARKHAMIA LUTEA
BERBERIS LYCIUM	BERBERIS LYCIUM
PSEUDOGNAPHALIUM STRAMINEUM	PSEUDOGNAPHALIUM STRAMINEUM
CEDRUS LIBANI	CEDRUS LIBANI
ANTHYLLIS VULNERARIA	ANTHYLLIS VULNERARIA
ASCLEPIAS CURASSAVICA	ASCLEPIAS CURASSAVICA
CRATAEGUS SONGARICA	CRATAEGUS SONGARICA
QUERCUS VIRGINIANA	QUERCUS VIRGINIANA
PSORALEA PINNATA	PSORALEA PINNATA
INULA HELENIUM	INULA HELENIUM
MORINDA CITRIFOLIA	MORINDA CITRIFOLIA
PHYSALIS VIRGINIANA	PHYSALIS VIRGINIANA
VITEX DONIANA	VITEX DONIANA
JUGLANS NIGRA	JUGLANS NIGRA
CORDYCEPS MILITARIS	CORDYCEPS MILITARIS
ROSA DAMASCENA	ROSA DAMASCENA
SATUREJA MONTANA	SATUREJA MONTANA
DIGITARIA INSULARIS	DIGITARIA INSULARIS
SMYRNIUM OLUSATRUM	SMYRNIUM OLUSATRUM
COLA NITIDA	COLA NITIDA
DRYOBALANOPS AROMATICA	DRYOBALANOPS AROMATICA
RIVINA HUMILIS	RIVINA HUMILIS
NEPETA CATARIA	NEPETA CATARIA
ERECHTITES HIERACIFOLIUS	ERECHTITES HIERACIFOLIUS
GYMNEMA LATIFOLIUM	GYMNEMA LATIFOLIUM
SONCHUS OLERACEUS	SONCHUS OLERACEUS
SAURURUS CERNUUS	SAURURUS CERNUUS
SALVIA PRATENSIS	SALVIA PRATENSIS
PINUS KESIYA	PINUS KESIYA
MITCHELLA REPENS	MITCHELLA REPENS
YUCCA FILAMENTOSA	YUCCA FILAMENTOSA
RANUNCULUS ACRIS	RANUNCULUS ACRIS
SOLANUM ANGUIVI	SOLANUM ANGUIVI
RUBUS ALLEGHENIENSIS	RUBUS ALLEGHENIENSIS
PASPALUM NOTATUM	PASPALUM NOTATUM
KNAUTIA ARVENSIS	KNAUTIA ARVENSIS
SILYBUM MARIANUM	SILYBUM MARIANUM
TRAMETES VERSICOLOR	TRAMETES VERSICOLOR
ALCEA ROSEA	ALCEA ROSEA
CECROPIA PELTATA	CECROPIA PELTATA
DIANTHUS CRENATUS	DIANTHUS CRENATUS
SAMBUCUS NIGRA	ELDERBERRY
GLYCINE MAX	GLYCINE MAX
HYDRASTIS CANADENSIS	HYDRASTIS CANADENSIS
MANDRAGORA OFFICINARUM	MANDRAGORA OFFICINARUM
CRATAEGUS GRACILIOR	CRATAEGUS GRACILIOR
CENTAURIUM PULCHELLUM	CENTAURIUM PULCHELLUM
ELEUTHEROCOCCUS SENTICOSUS	ELEUTHEROCOCCUS SENTICOSUS
TARAXACUM OFFICINALE	TARAXACUM OFFICINALE
RHYNCHOSTYLIS RETUSA	RHYNCHOSTYLIS RETUSA
MAERUA CRASSIFOLIA	MAERUA CRASSIFOLIA
STACHYS MEXICANA	STACHYS MEXICANA
ALECTRA SESSILIFLORA	ALECTRA SESSILIFLORA
CLARKIA PURPUREA	CLARKIA PURPUREA
SALVIA OFFICINALIS	SALVIA OFFICINALIS
IPOMOEA DUMOSA	IPOMOEA DUMOSA
CLINACANTHUS NUTANS	CLINACANTHUS NUTANS
CORDIA DENTATA	CORDIA DENTATA
GLYCYRRHIZA URALENSIS	LICORICE
RHEUM PALMATUM	RHEUM PALMATUM
RUMEX CRISPUS	RUMEX CRISPUS
ACACIA SALIGNA	ACACIA SALIGNA
ALCHEMILLA XANTHOCHLORA	ALCHEMILLA XANTHOCHLORA
RUBUS PARVIFOLIUS	RUBUS PARVIFOLIUS
GANODERMA LUCIDUM	GANODERMA LUCIDUM
HANDROANTHUS HEPTAPHYLLUS	HANDROANTHUS HEPTAPHYLLUS
HORNY GOAT WEED	EPIMEDIUM PUBESCENS
MATRICARIA CHAMOMILLA	MATRICARIA CHAMOMILLA
GLYCYRRHIZA GLABRA	GLYCYRRHIZA GLABRA
SMILAX GLAUCA	SMILAX GLAUCA
FRAXINUS QUADRANGULATA	FRAXINUS QUADRANGULATA
PLECTRANTHUS AMBOINICUS	COLEUS
ABIES ALBA	ABIES ALBA
JUNIPERUS VIRGINIANA	JUNIPERUS VIRGINIANA
TRIBULUS TERRESTRIS	TRIBULUS TERRESTRIS
ARTEMISIA ANNUA	ARTEMISIA ANNUA
ORIGANUM COMPACTUM	ORIGANUM COMPACTUM
TANACETUM VULGARE	TANACETUM VULGARE
HAMAMELIS VIRGINIANA	HAMAMELIS VIRGINIANA
ARUM ITALICUM	ARUM ITALICUM
EUCLEA RACEMOSA	EUCLEA RACEMOSA
ARCTOSTAPHYLOS NEVADENSIS	ARCTOSTAPHYLOS NEVADENSIS
CARTHAMUS LANATUS	CARTHAMUS LANATUS
LEVISTICUM OFFICINALE	LEVISTICUM OFFICINALE
ARCTIUM LAPPA	ARCTIUM LAPPA
POGOSTEMON CABLIN	POGOSTEMON CABLIN
COPTIS	COPTIS
CITRUS RETICULATA	CITRUS RETICULATA
AMPELOCISSUS LATIFOLIA	AMPELOCISSUS LATIFOLIA
SOLIDAGO ODORA	SOLIDAGO ODORA
CALLICARPA AMERICANA	CALLICARPA AMERICANA
CAULOPHYLLUM THALICTROIDES	CAULOPHYLLUM THALICTROIDES
PICEA MARIANA	PICEA MARIANA
LUPINUS PERENNIS	LUPINUS PERENNIS
ASARUM CANADENSE	ASARUM CANADENSE
ADIANTUM LATIFOLIUM	ADIANTUM LATIFOLIUM
WARBURGIA UGANDENSIS	WARBURGIA UGANDENSIS
LEPIDIUM MEYENII	LEPIDIUM MEYENII
MAGNOLIA GRANDIFLORA	MAGNOLIA GRANDIFLORA
SESELI LIBANOTIS	SESELI LIBANOTIS
PARONYCHIA ARGENTEA	PARONYCHIA ARGENTEA
PONTEDERIA CORDATA	PONTEDERIA CORDATA
CITRUS AURANTIUM	CITRUS AURANTIUM
SPERMACOCE VERTICILLATA	SPERMACOCE VERTICILLATA
SENNA ALEXANDRINA	SENNA
SALVIA SCLAREA	SALVIA SCLAREA
ALCEA SETOSA	ALCEA SETOSA
ANETHUM GRAVEOLENS	ANETHUM GRAVEOLENS
AESCULUS HIPPOCASTANUM	AESCULUS HIPPOCASTANUM
RICINUS COMMUNIS	RICINUS COMMUNIS
PELTANDRA VIRGINICA	PELTANDRA VIRGINICA
CARYA ALBA	CARYA ALBA
CASTILLEJA MINIATA	CASTILLEJA MINIATA
CORNUS FLORIDA	CORNUS FLORIDA
QUERCUS STELLATA	QUERCUS STELLATA
DIANTHUS CARTHUSIANORUM	DIANTHUS CARTHUSIANORUM
TEUCRIUM CRETICUM	TEUCRIUM CRETICUM
FRANGULA ALNUS	FRANGULA ALNUS
TILIA AMERICANA	TILIA AMERICANA
ERYTHRINA CRISTA-GALLI	ERYTHRINA CRISTA-GALLI
QUERCUS CHRYSOLEPIS	QUERCUS CHRYSOLEPIS
CROTON DRACONOIDES	CROTON DRACONOIDES
MERTESIA VIRGINICA	MERTESIA VIRGINICA
LILIUM CANDIDUM	LILIUM CANDIDUM
ARENARIA LANUGINOSA	ARENARIA LANUGINOSA
CIRSIUM ERIOPHORUM	CIRSIUM ERIOPHORUM
GARCINIA GERRARDII	GARCINIA GERRARDII
MEUM ATHAMANTICUM	MEUM ATHAMANTICUM
CALLUNA VULGARIS	CALLUNA VULGARIS
PINUS ECHINATA	PINUS ECHINATA
ACHILLEA NOBILIS	ACHILLEA NOBILIS
JACOBAEA MARITIMA	JACOBAEA MARITIMA
BAPTISIA ALBA	BAPTISIA ALBA
COMMELINA DIFFUSA	COMMELINA DIFFUSA
TODDALIA ASIATICA	TODDALIA ASIATICA
LUDWIGIA ERECTA	LUDWIGIA ERECTA
ACACIA DEALBATA	ACACIA DEALBATA
EUPHORBIA OFFICINARUM	EUPHORBIA OFFICINARUM
PTELEA TRIFOLIATA	PTELEA TRIFOLIATA
ACANTHUS MOLLIS	ACANTHUS MOLLIS
RUBUS RIGIDUS	RUBUS RIGIDUS
TOONA SINENSIS	TOONA SINENSIS
FERULA SINKIANGENSIS	FERULA SINKIANGENSIS
ARALIA RACEMOSA	ARALIA RACEMOSA
ORIGANUM SYRIACUM	ORIGANUM SYRIACUM
MELISSA OFFICINALIS	MELISSA OFFICINALIS
IPOMOEA WOLCOTTIANA	IPOMOEA WOLCOTTIANA
CNIDOSCOLUS URENS	CNIDOSCOLUS URENS
ERIGERON STRIGOSUS	ERIGERON STRIGOSUS
ALLIUM PORRUM	ALLIUM PORRUM
MIKANIA SCANDENS	MIKANIA SCANDENS
DELPHINIUM GRANDIFLORUM	DELPHINIUM GRANDIFLORUM
ORIGANUM ONITES	ORIGANUM ONITES
PRUNELLA VULGARIS	PRUNELLA VULGARIS
DAPHNE GNIDIUM	DAPHNE GNIDIUM
ACER RUBRUM	ACER RUBRUM
SABAL MINOR	SABAL MINOR
OPUNTIA HUMIFUSA	OPUNTIA HUMIFUSA
ZANTHOXYLUM OVALIFOLIUM	ZANTHOXYLUM OVALIFOLIUM
FUMARIA OFFICINALIS	FUMARIA OFFICINALIS
BRASSICA JUNCEA	BRASSICA JUNCEA
AMOMUM AROMATICUM	AMOMUM AROMATICUM
OXYRIA DIGYNA	OXYRIA DIGYNA
LONICERA HYPOGLAUCA	LONICERA HYPOGLAUCA
ALOYSIA TRIPHYLLA	ALOYSIA TRIPHYLLA
PINUS SYLVESTRIS	PINUS SYLVESTRIS
CYMBOPOGON SCHOENANTHUS	CYMBOPOGON SCHOENANTHUS
SAMBUCUS CANADENSIS	SAMBUCUS CANADENSIS
