"concept_id","np_name"
-7996420,BERBERIS CERATOPHYLLA WHOLE
-7997587,OREGON BARBERRY WHOLE
-7996472,SOLANUM KENIENSE WHOLE
-7995360,PARIETARIA DIFFUSA WHOLE
-7995866,CAPSELLA SALINULA WHOLE
-7992445,BOX HOLLY WHOLE
-7992625,GALLIARIA SPITOSA WHOLE
-7995610,MAGNOLIA STRICTA WHOLE
-7998958,OCIMUM ANISODORUM WHOLE
-7992566,ALOE CHINENSIS WHOLE
-7991522,RED PLANT WHOLE
-7994295,CAMPHORINA CASSIA WHOLE
-7993098,BIDENS ALAUSENSIS WHOLE
-7993851,JUGLANS PRAEMATURIENS WHOLE
-7995537,SAMM AL FERAKH WHOLE
-7994202,SOYBEAN
-7999148,HARE'S EAR WHOLE
-7991121,CANNABIS SATIVA SUBSP. INDICA  E. SMALL & CRONQUIST
-7992876,PALE DESERT-THORN WHOLE
-7992587,RUFACER RUBRUM WHOLE
-7994866,CERATONIA SILIQUA
-7993234,CREPINIA CANINA WHOLE
-7996611,ERUCA LATIVALVIS WHOLE
-7999365,HELICHRYSUM ARENARIUM WHOLE
-7993669,URENA RIBESIA WHOLE
-7990712,COMMON BARBERRY
-7999020,CHAMAEPLIUM OFFICINALE WHOLE
-7997916,TAMARINDUS OCCIDENTALIS WHOLE
-7995140,NEUROLAENA LOBATA  R.BR. EX CASS.
-7999582,ABSINTHIUM OFFICINALE WHOLE
-7993607,WATERHYSSOP WHOLE
-7995005,ULMUS ROSSEELSII WHOLE
-7996603,ERUCA STENOCARPA WHOLE
-7994707,CARRY ME SEED WHOLE
-7997185,SALVIA ROSMARINUS SPENN.
-7992839,CHINESE GOLDTHREAD
-7992044,CEREAL BARLEY WHOLE
-7996624,BRASSICA ERUCOIDES WHOLE
-7992465,SALISBURIA BILOBA WHOLE
-7993263,FOENICULUM PANMORIUM WHOLE
-7992936,CALAMUS
-7993828,CYANOCOCCUS MYRSINITES WHOLE
-7993070,BIDENS PUMILA WHOLE
-7995996,CAPSELLA APETALA WHOLE
-7998146,LONICERA DIVERSIFOLIA WHOLE
-7998579,CENTAURIUM UMBELLATUM AUCT. NON GILIB.
-7992161,SHEPHERD'S-PURSE
-7991475,BLACK HEMPNETTLE
-7994684,TANNER'S SUMAC
-7992214,ASPARAGOPSIS ACEROSA WHOLE
-7996536,URTICA WHOLE
-7998663,HOOF FUNGUS WHOLE
-7994330,CHIONANTHUS VERNALIS WHOLE
-7991360,SALVIA SIMSIANA WHOLE
-7999721,DONG GUI WHOLE
-7994865,CERATONIA SILIQUA WHOLE
-7996447,DOG GRASS WHOLE
-7991873,FENNEL
-7997040,TARAXACUM DENS-LEONIS WHOLE
-7997726,REN SHEN WHOLE
-7992191,PROTASPARAGUS ACEROSUS WHOLE
-7996413,BERBERIS SIKKIMENSIS WHOLE
-7998561,ERYTHRAEA SCHUTTLEWORTHIANA WHOLE
-7996028,BURSA HEEGERI WHOLE
